Model,Category,With Context (True/Total),With Context (%),Without Context (True/Total),Without Context (%),Difference (%)
gemini,accuracy,663/1080,61.39,732/1080,67.78,-6.39
gemini,coherence,937/1350,69.41,577/900,64.11,+5.30
gemini,context,298/990,30.10,0/0,0.00,+30.10
gemini,pragmatic,671/810,82.84,637/720,88.47,-5.63
gemini,presupposition,660/1080,61.11,733/990,74.04,-12.93
gemini,TOTAL,3229/5310,60.81,2679/3690,72.60,-11.79

gpt5,accuracy,656/1080,60.74,683/1080,63.24,-2.50
gpt5,coherence,1014/1350,75.11,635/900,70.56,+4.56
gpt5,context,279/990,28.18,0/0,0.00,+28.18
gpt5,pragmatic,639/810,78.89,591/720,82.08,-3.19
gpt5,presupposition,767/1080,71.02,698/990,70.51,+0.51
gpt5,TOTAL,3355/5310,63.18,2607/3690,70.65,-7.47

llama,accuracy,180/1080,16.67,331/1080,30.65,-13.98
llama,coherence,848/1350,62.81,510/900,56.67,+6.15
llama,context,146/990,14.75,0/0,0.00,+14.75
llama,pragmatic,445/810,54.94,355/720,49.31,+5.63
llama,presupposition,533/1080,49.35,571/990,57.68,-8.32
llama,TOTAL,2152/5310,40.53,1767/3690,47.89,-7.36

qwen,accuracy,248/1080,22.96,397/1080,36.76,-13.80
qwen,coherence,793/1350,58.74,478/900,53.11,+5.63
qwen,context,123/990,12.42,0/0,0.00,+12.42
qwen,pragmatic,457/810,56.42,434/720,60.28,-3.86
qwen,presupposition,454/1080,42.04,569/990,57.47,-15.44
qwen,TOTAL,2075/5310,39.08,1878/3690,50.89,-11.82

